,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy,z BJD,z Flux,z dy
45,59379.80515105975,6631.335644708601,313.19764395147695,,,,,,,59522.43668931439,3617.684277127493,338.2522466999848
46,59379.810333212416,4867.426118540531,324.3392633284342,,,,,,,59522.4418365246,3215.8335969629875,351.2356907093047
47,59379.81551536509,3519.0688459633475,314.8407316905365,,,,,,,59522.446983734815,4590.556785827272,311.4061774955892
48,59379.82069751775,3585.7685322767047,343.10231469839124,,,,,,,59717.814494543956,3908.8105030053794,338.79526926284854
49,59379.82069751775,3174.5088327554913,320.29459281619984,,,,,,,59717.81964175417,3373.5368554254997,350.7494679224232
50,59379.82587967042,1776.9522866105326,351.3390187656238,,,,,,,59720.77928762611,2353.1319202783934,274.1346477722038
51,59379.83624397575,3222.882615156019,365.59038024884256,,,,,,,59720.78958204653,1903.6697247706425,273.8445910903878
52,59379.89842980774,8650.652138022122,325.6429978332734,,,,,,,59720.78958204653,1429.848149319836,261.6408610231636
53,59379.90361196041,8228.661053326729,333.38282142024707,,,,,,,59720.79472925674,2119.5033217336295,257.84856484620366
54,59379.90879411308,5899.785372296516,355.67766888417674,,,,,,,59720.799876466954,2240.1138880101244,259.94231435589234
55,59489.51650515624,6501.568433217763,422.35054674247,,,,,,,59720.80502367717,3222.00253084467,300.77591321599874
56,59489.51650515624,5847.119035826316,436.73143807778115,,,,,,,59720.81017088738,2998.418222081621,285.3159321619939
57,59489.52168730891,5920.25755324418,414.38101955578173,,,,,,,59723.847024912495,2788.9908256880744,306.36512661308353
58,59489.52686946157,5091.794617797589,430.75780472243997,,,,,,,59723.847024912495,3386.981967731732,284.41693241562547
59,59489.532051614246,5052.336140003302,476.4185247387361,,,,,,,59723.85217212271,3694.4005061689354,291.86080226720196
60,59489.532051614246,5232.293214462605,420.91176429884223,,,,,,,59729.71999176446,4790.651692502374,331.86147871683477
61,59489.53723376691,4709.75730559683,348.86324600486614,,,,,,,59729.73028618489,4580.907940525152,332.559875141073
62,59489.542415919575,4486.214297507016,382.1757303184042,,,,,,,59729.7354333951,4716.545397026259,329.337594247663
63,59489.542415919575,4514.9413901271255,432.41735926993215,,,,,,,59729.7354333951,4403.748813666563,320.24785372569266
64,59489.54759807224,3482.7472346045906,452.15367915886566,,,,,,,59729.740580605314,5406.912369503324,388.4331802412811
65,59519.52635124631,9790.325243519892,349.98529731229536,,,,,,,59735.803994235124,935.1471053464093,268.61049679105656
66,59519.53153339898,9711.243189697869,341.1243331873687,,,,,,,,,
67,59519.53671555164,9453.359749050684,352.74028475649556,,,,,,,,,
68,59519.53671555164,9486.214297507015,360.74539511939327,,,,,,,,,
69,59519.54189770431,9845.302955258378,369.11515884880254,,,,,,,,,
70,59519.54707985697,9493.478619778767,353.9993604332496,,,,,,,,,
71,59522.531999792714,8174.1786362885905,403.98384655163727,,,,,,,,,
72,59522.531999792714,8013.538055142808,504.429228782983,,,,,,,,,
73,59522.53718194538,8537.229651642727,474.2473492143122,,,,,,,,,
74,59522.54236409805,8519.068845963346,452.41592123527715,,,,,,,,,
75,59522.54236409805,8956.248968136038,473.01096854174784,,,,,,,,,
76,59522.54754625072,9361.400033019645,405.4789712913176,,,,,,,,,
77,59525.53246618646,1261.0203070827138,280.9851023874835,,,,,,,,,
78,59729.81810644142,10532.441802872707,515.41262854742,,,,,,,,,
79,59729.82328859408,10584.282648175662,420.51018461628496,,,,,,,,,
80,59729.828470746754,10597.490506851575,436.9240278543036,,,,,,,,,
81,59729.828470746754,10266.303450553078,406.00546860658375,,,,,,,,,
82,59729.83365289942,9974.739970282317,429.6921832919283,,,,,,,,,
83,59729.83883505208,10712.729073798908,407.2547226065724,,,,,,,,,
84,59729.90620303674,5929.503054317318,415.5754622144528,,,,,,,,,
85,59729.91138518941,5567.9379230642235,358.0328744831592,,,,,,,,,
86,59735.90713582422,3943.0411094601286,337.56139972929935,,,,,,,,,
87,59735.91231797689,2233.4489020967485,336.69887447675796,,,,,,,,,
