,g BJD,g Flux,g dy,r BJD,r Flux,r dy,i BJD,i Flux,i dy,z BJD,z Flux,z dy
37,59384.139362657086,1299.340659340658,160.38244681669732,59381.19950628366,1933.0954195828424,248.79103304288458,59710.068980863376,949.3875198155355,148.7141701726883,,,
38,59384.139362657086,1365.5677655677646,152.08421532977337,59381.20511669658,1930.8779710345782,233.26986846348143,59710.068980863376,988.1539126675315,145.93835244759399,,,
39,59384.14497307002,1342.2710622710601,152.21344765847792,59384.1000897666,2048.887810962511,164.8941090923981,59731.06920338229,1218.8643896815106,305.60838295067265,,,
40,59710.205341113106,1112.3809523809523,143.24029455267163,59384.10570017953,2079.6202619361093,177.02782538647256,59740.00890075657,1031.3878080415047,151.72128331691638,,,
41,59710.205341113106,993.2600732600731,131.19939374021112,59384.116921005385,2304.795232485621,173.36555640363378,59740.01446372942,1129.70168612192,153.91543950194497,,,
42,59710.216561938956,881.61172161172,139.10977025228365,59384.12253141831,2065.622617975192,181.87135583584595,59740.025589675126,763.3376567228709,151.13533971198135,,,
43,59710.22217235188,994.285714285712,149.57499906533104,59384.128141831236,2159.7948860092856,176.98491656299095,59740.025589675126,867.3728202911083,159.81284654656767,,,
44,59725.15709156194,1147.399267399267,152.46720135526024,59384.128141831236,2412.306839442866,182.3623135404897,59754.92879394749,609.2664649084883,160.07251895245867,,,
45,59725.16270197486,1153.406593406593,158.58722031575772,59384.13375224416,2451.458665373155,186.65523311482517,59754.93435692034,831.0995820723449,154.98753256868486,,,
46,59725.1907540395,1075.7509157509157,184.38067653057064,59384.139362657086,2413.9006305869307,172.73100772450078,59754.945482866045,923.8651102464333,178.3011201465301,,,
47,59725.1907540395,953.9926739926723,165.77804240268603,59384.139362657086,2440.579308433234,180.51076297459457,59777.903871829105,995.1289811211992,165.37378472253232,,,
48,59740.148114901254,1123.9560439560428,154.00122423858238,59384.14497307002,2083.3622063613057,181.5666591398959,,,,,,
49,59755.077423698385,922.7838827838805,138.1581729555525,59493.811714542186,1887.8802577783936,352.82473629423913,,,,,,
50,59755.08303411131,1032.8205128205118,149.78559028574372,59493.82293536804,1842.0760862033121,334.4733037039488,,,,,,
51,59778.05767504488,1140.2197802197788,154.42703251870972,59493.82293536804,1982.9880119187858,341.0098020656375,,,,,,
52,59778.05767504488,1088.205128205127,149.45681702043072,59523.827423698385,2028.3764118910676,271.6933455920243,,,,,,
53,,,,59523.83303411131,2745.513131453122,333.5614737067905,,,,,,
54,,,,59523.83303411131,2461.1600027718105,293.230217965053,,,,,,
55,,,,59523.838644524236,2384.103665719631,330.6185958153777,,,,,,
56,,,,59523.84425493716,2781.338784561014,315.68869707495395,,,,,,
57,,,,59523.84425493716,2256.8775552629754,256.3133420233808,,,,,,
58,,,,59710.205341113106,1797.2420483680962,162.36502294848015,,,,,,
59,,,,59710.21095152603,1653.2118356316262,162.58818500477284,,,,,,
60,,,,59710.216561938956,1549.2689349317438,163.21349839375466,,,,,,
61,,,,59710.216561938956,1628.1615965629546,169.91308002690292,,,,,,
62,,,,59710.22217235188,1524.4265816644722,161.44888670527683,,,,,,
63,,,,59716.236535008975,1206.0494768207332,244.01947263591097,,,,,,
64,,,,59725.15709156194,889.0582773196588,201.41881798416668,,,,,,
65,,,,59725.15709156194,1466.0106714711385,185.01244536095015,,,,,,
66,,,,59725.16270197486,2257.5012126671745,202.8204470730701,,,,,,
67,,,,59731.1434021544,1354.2374055851985,261.2945487936933,,,,,,
68,,,,59731.20511669658,2234.1487076432677,265.4063019367946,,,,,,
69,,,,59740.148114901254,1903.2984547155427,173.4104320336759,,,,,,
70,,,,59740.148114901254,1869.4823643545144,171.66215964195536,,,,,,
71,,,,59740.159335727105,1093.7564964312935,173.7662526065893,,,,,,
72,,,,59740.16494614003,1303.513270043656,168.8815652988272,,,,,,
73,,,,59755.077423698385,1710.0686023144617,170.83275022242162,,,,,,
74,,,,59755.077423698385,1981.3595731411544,196.8814562130184,,,,,,
75,,,,59755.08303411131,2179.0936179058967,187.5734434217817,,,,,,
76,,,,59763.05543087971,1905.2733698288405,479.01059174752953,,,,,,
77,,,,59772.04892280071,913.6234495183976,199.76528939376973,,,,,,
78,,,,59772.05453321364,777.6314877693849,222.4399403673024,,,,,,
79,,,,59772.0657540395,1061.53419721433,198.83461157417437,,,,,,
80,,,,59778.0408438061,1903.367749982676,187.9747086448741,,,,,,
81,,,,59778.04645421903,2142.055297623172,195.12275841140735,,,,,,
82,,,,59778.05767504488,2207.0542581941654,183.30415841958643,,,,,,
